lp,Imie I nazwisko,lista,data urodzenia,Zawód,dom powierzchnia,dom wartosc,Mieszkanie lub dom 1 powierzchnia,Mieszkanie lub dom 1 wartosc,Mieszkanie 2 powierzchnia,Mieszkanie 2 wartosc,Mieszkanie 3 powierzchnia,Mieszkanie 3 wartosc,Mieszkanie 4 powierzchnia,Mieszkanie 4 wartosc,Mieszkanie 5 powierzchnia,Mieszkanie 5 wartosc,suma wartosci wszystkich domow lub mieszkan,suma powierzchni,cena za metr
1,Andrzej Adamczyk,Prawo i Sprawiedliwość,04-01-1959,ekonomista,187.1,520000,37,290000,,,,,,,,,810000,224.1,3614.5
2,Piotr Adamowicz,Koalicja Obywatelska,26-06-1961,dziennikarz,,,68,400000,46,320000,,,,,,,720000,114,6315.8
3,Adam Andruszkiewicz,Prawo i Sprawiedliwość,30-06-1990,parlamentarzysta,189,1050000,,,,,,,,,,,1050000,189,5555.6
4,Waldemar Andzel,Prawo i Sprawiedliwość,17-09-1971,politolog,,,85.3,367000,,,,,,,,,367000,85.3,4302.5
5,Dorota Arciszewska-Mielewczyk,Prawo i Sprawiedliwość,16-02-1968,"ekonomista, menedżer",563,6500000,236.61,500000,,,,,,,,,7000000,799.61,8754.3
6,Jan Krzysztof Ardanowski,Prawo i Sprawiedliwość,11-02-1961,rolnik,200,706000,,,,,,,,,,,706000,200,3530.0
7,Iwona Ewa Arent,Prawo i Sprawiedliwość,04-06-1968,politolog,,,67.5,400000,53.4,350000,,,,,,,750000,120.9,6203.5
8,Bartosz Arłukowicz,Koalicja Obywatelska,30-12-1971,lekarz,265,1200000,56.79,437000,,,,,,,,,1637000,321.79,5087.2
9,Marek Ast,Prawo i Sprawiedliwość,27-09-1958,"pracownik samorządowy, radca prawny, urzędnik państwowy",170,400000,,,,,,,,,,,400000,170,2352.9
10,Urszula Augustyn,Koalicja Obywatelska,01-09-1964,dziennikarz,80,250000,37,200000,,,,,,,,,450000,117,3846.2
11,Piotr Babinetz,Prawo i Sprawiedliwość,09-09-1969,"historyk, muzealnik",0,318000,62,300000,,,,,,,,,618000,62,9967.7
12,Anna Baluch,Prawo i Sprawiedliwość,03-06-1973,urzędnik samorządowy,,,,,,,,,,,,,0,0,#DIV/0!
13,Ryszard Bartosik,Prawo i Sprawiedliwość,11-01-1968,politolog,220,500000,,,,,,,,,,,500000,220,2272.7
14,Władysław Bartoszewski,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,22-10-1955,pracownik naukowy,,,,,,,,,,,,,0,0,#DIV/0!
15,Barbara Bartuś,Prawo i Sprawiedliwość,03-07-1967,prawnik,120,400000,78.71,450000,,,,,,,,,850000,198.71,4277.6
16,Paweł Bejda,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,13-10-1962,"inżynier mechanik, menedżer",295,470000,,,,,,,,,,,470000,295,1593.2
17,Konrad Berkowicz,Konfederacja Wolność i Niepodległość,27-05-1984,"programista
",,,,,,,,,,,,,0,0,#DIV/0!
18,Sylwia Bielawska,Koalicja Obywatelska,27-04-1975,"pracownik samorządowy, radca prawny, urzędnik państwowy",182,650000,,,,,,,,,,,650000,182,3571.4
19,Marek Biernacki,Trzecia Droga Polska 2050 Szymona Hołowni - Polskie Stronnictwo Ludowe,28-04-1959,prawnik,253,70000,,,,,,,,,,,70000,253,276.7
